"DateTime","Depth","mod_oxy","obs_oxy"
2018-06-07,"7",231.524654335016,10.2125
2018-06-07,"8",164.786906217414,3.840625
2018-06-07,"9",2.50061178900663,3.39375
2018-06-14,"0.1",243.029222317543,275.478125
2018-06-14,"1",242.083072886361,276.253125
2018-06-14,"10",0,2.403125
2018-06-14,"11",0,2.353125
2018-06-14,"2",247.620827033656,272.0625
2018-06-14,"3",264.917102643028,266.49375
2018-06-14,"4",264.75219987487,169.353125
2018-06-14,"5",261.590615425118,102.728125
2018-06-14,"6",239.837821916478,16.040625
2018-06-14,"7",216.586456100917,3.5625
2018-06-14,"8",156.303843061502,2.6625
2018-06-14,"9",22.4341247992099,2.48125
2018-06-21,"0.1",247.660460662237,254.265625
2018-06-21,"1",248.761229228324,251.45
2018-06-21,"10",0.0008077228397957,2.60625
2018-06-21,"11",0.000243132269949352,2.609375
2018-06-21,"2",250.923934997161,347.20625
2018-06-21,"3",255.594606269991,236.159375
2018-06-21,"4",258.087114437112,83.078125
2018-06-21,"5",259.949927283545,13.6
2018-06-21,"6",238.769389406337,30.36875
2018-06-21,"7",206.146392774392,3.03125
2018-06-21,"8",115.926440557874,2.778125
2018-06-21,"9",0.330260106395566,2.603125
2018-06-28,"0.1",246.715714376247,287.50625
2018-06-28,"1",246.271471935717,288.6625
2018-06-28,"10",0.00166706341674413,2.709375
2018-06-28,"11",0.000427907286142934,2.59375
2018-06-28,"2",248.163548701012,287.49375
2018-06-28,"3",253.479703500886,129.49375
2018-06-28,"4",252.048253369246,31.340625
2018-06-28,"5",256.293479092798,4.475
2018-06-28,"6",224.258202415092,3
2018-06-28,"7",201.619990654834,3.009375
2018-06-28,"8",113.177741800031,2.871875
2018-06-28,"9",0.000433436968825047,2.725
2018-07-05,"0.1",252.903807584826,255.859375
2018-07-05,"1",252.710829897794,448.971875
2018-07-05,"10",0.00289041488409672,2.8625
2018-07-05,"11",NA,2.784375
2018-07-05,"2",244.902162784085,329.915625
2018-07-05,"3",243.466901191144,153.9125
2018-07-05,"4",246.78689322048,8.665625
2018-07-05,"5",259.616587676058,6.146875
2018-07-05,"6",228.10491673408,4.55
2018-07-05,"7",201.026436906601,3.778125
2018-07-05,"8",87.4274225631706,3.490625
2018-07-05,"9",0,2.8
2018-07-12,"0.1",250.210238019046,292.253125
2018-07-12,"1",250.178791654621,327.25
2018-07-12,"10",0.00474064059144615,2.765625
2018-07-12,"11",NA,2.50625
2018-07-12,"2",252.063181349941,356.10625
2018-07-12,"3",259.04359863855,78.659375
2018-07-12,"4",263.397372860887,6.2375
2018-07-12,"5",262.441100670794,3.934375
2018-07-12,"6",231.973061193729,3.528125
2018-07-12,"7",199.025981854622,3.3875
2018-07-12,"8",80.3274860200097,3.21875
2018-07-12,"9",0.00496598578089089,2.65
2018-07-19,"0.1",251.43008781898,234.99375
2018-07-19,"1",251.192352880592,313.01875
2018-07-19,"10",5.69774350923701e-05,2.121875
2018-07-19,"11",NA,2.121875
2018-07-19,"2",251.947516441939,241.403125
2018-07-19,"3",257.516764270899,28.340625
2018-07-19,"4",264.034883066014,5.196875
2018-07-19,"5",274.482051121073,2.534375
2018-07-19,"6",234.8478386591,2.271875
2018-07-19,"7",197.080244052539,2.159375
2018-07-19,"8",48.9990194858268,2.21875
2018-07-19,"9",0,1.94375
2018-07-26,"0.1",270.565567990714,276.665625
2018-07-26,"1",270.34607884952,277.640625
2018-07-26,"10",0,2.959375
2018-07-26,"11",NA,2.959375
2018-07-26,"2",267.07728659037,276.915625
2018-07-26,"3",268.982624662162,271.403125
2018-07-26,"4",268.982624662162,8.15
2018-07-26,"5",257.987895739972,4.98125
2018-07-26,"6",221.401126340823,3.61875
2018-07-26,"7",190.497196784459,3.165625
2018-07-26,"8",121.884569644752,2.959375
2018-07-26,"9",26.8606355110527,2.959375
2018-08-02,"0.1",275.377500660695,246.1
2018-08-02,"1",274.067368174192,250.0875
2018-08-02,"10",0,2.3625
2018-08-02,"11",NA,2.590625
2018-08-02,"2",264.887373546943,154.721875
2018-08-02,"3",266.004764546424,5.425
2018-08-02,"4",266.004764546424,4.221875
2018-08-02,"5",254.562351069869,3.678125
2018-08-02,"6",211.478992086961,3.315625
2018-08-02,"7",177.448559479913,2.971875
2018-08-02,"8",89.7396489470275,2.740625
2018-08-02,"9",8.5668533743789,2.759375
2018-08-09,"0.1",267.253413621739,213.8875
2018-08-09,"1",267.897718074267,263.896875
2018-08-09,"10",0,2.5375
2018-08-09,"11",NA,2.5375
2018-08-09,"2",259.502088255211,260.2125
2018-08-09,"3",261.142481137019,0
2018-08-09,"4",262.178814166021,7.865625
2018-08-09,"5",255.964922168097,4.20625
2018-08-09,"6",210.691157950439,3.54375
2018-08-09,"7",170.944506448866,2.975
2018-08-09,"8",88.141939553579,3.265625
2018-08-09,"9",13.0638545590731,2.5375
2018-08-16,"0.1",268.751668374296,303.590625
2018-08-16,"1",268.579617207391,302.803125
2018-08-16,"10",0,2.1375
2018-08-16,"11",NA,2.234375
2018-08-16,"2",264.243731053149,290.959375
2018-08-16,"3",266.282954447495,5.328125
2018-08-16,"4",269.27556217568,80.578125
2018-08-16,"5",261.553737487226,3.634375
2018-08-16,"6",209.024387680069,2.790625
2018-08-16,"7",167.736772204038,2.734375
2018-08-16,"8",49.777704902396,2.33125
2018-08-16,"9",0,2.340625
2018-08-24,"0.1",270.424565430394,259.53125
2018-08-24,"1",269.979609106329,257.565625
2018-08-24,"10",0,2.36875
2018-08-24,"11",NA,2.121875
2018-08-24,"2",264.666746911424,231.415625
2018-08-24,"3",273.904489087183,123.75625
2018-08-24,"4",273.904489087183,156.928125
2018-08-24,"5",243.078437078099,3.715625
2018-08-24,"6",197.843625042186,2.8
2018-08-24,"7",166.449191301924,2.5
2018-08-24,"8",80.8064006784765,2.553125
2018-08-24,"9",5.96933695993577,2.0875
2018-09-07,"0.1",279.496863736896,250.521875
2018-09-07,"1",279.553599221369,246.990625
2018-09-07,"10",0,2.371875
2018-09-07,"11",NA,2.371875
2018-09-07,"2",264.353083944009,239.271875
2018-09-07,"3",268.543587530989,108.915625
2018-09-07,"4",282.776961996456,86.509375
2018-09-07,"5",244.765552529643,4.890625
2018-09-07,"6",198.631693805723,3.646875
2018-09-07,"7",141.07039372915,3.16875
2018-09-07,"8",8.1806262339647,2.91875
2018-09-07,"9",0,2.628125
2018-09-21,"0.1",273.539052410133,263.8125
2018-09-21,"1",270.990831011271,261.996875
2018-09-21,"10",0,2.28125
2018-09-21,"11",NA,2.1625
2018-09-21,"2",266.134588931055,244.628125
2018-09-21,"3",266.162313554741,192.321875
2018-09-21,"4",265.046821946419,29.240625
2018-09-21,"5",259.261514743485,4.025
2018-09-21,"6",230.719261766191,3.48125
2018-09-21,"7",191.560013451477,2.7625
2018-09-21,"8",108.019380508918,2.6
2018-09-21,"9",18.123469309518,2.43125
2018-10-05,"0.1",283.022229247963,267.96875
2018-10-05,"1",283.889637062236,278.909375
2018-10-05,"10",0,2.421875
2018-10-05,"11",0,2.4
2018-10-05,"2",271.580003989293,270.6625
2018-10-05,"3",270.745782140293,251.775
2018-10-05,"4",271.49726954206,29.228125
2018-10-05,"5",268.486336452582,4.171875
2018-10-05,"6",249.500672924316,3.2875
2018-10-05,"7",221.161153306001,3.05
2018-10-05,"8",123.586859263638,2.95
2018-10-05,"9",5.95298339298338,2.784375
2018-10-19,"0.1",292.832055997903,220.575
2018-10-19,"1",292.385230950569,227.8
2018-10-19,"10",0,3.609375
2018-10-19,"11",0,3.609375
2018-10-19,"2",291.905568145911,224.6375
2018-10-19,"3",289.219929155196,222.18125
2018-10-19,"4",282.279310957102,218.825
2018-10-19,"5",264.577836895824,217.953125
2018-10-19,"6",286.695442647236,185.509375
2018-10-19,"7",286.695442647236,8.5125
2018-10-19,"8",286.695442647236,5.334375
2018-10-19,"9",24.6495577634881,4
2018-10-29,"0.1",306.764252386421,320.625
2018-10-29,"1",306.501980741005,318.75
2018-10-29,"10",319.17713782027,312.8125
2018-10-29,"11",319.17713782027,313.125
2018-10-29,"2",306.500230623813,318.75
2018-10-29,"3",314.971710541727,317.8125
2018-10-29,"4",317.648718855022,317.8125
2018-10-29,"5",301.175279163189,315.9375
2018-10-29,"6",319.17713782027,314.6875
2018-10-29,"7",319.17713782027,314.6875
2018-10-29,"8",319.17713782027,314.375
2018-10-29,"9",319.17713782027,313.75
2018-11-02,"0.1",323.111767581947,269.796875
2018-11-02,"1",322.640112498881,251.8125
2018-11-02,"10",264.870108872587,0
2018-11-02,"11",263.229567379664,6.09375
2018-11-02,"2",319.814287205859,248.384375
2018-11-02,"3",310.514943939945,226.96875
2018-11-02,"4",312.745920076304,222.375
2018-11-02,"5",312.672097039162,211.809375
2018-11-02,"6",314.762732793846,205.1375
2018-11-02,"7",317.711788111292,187.428125
2018-11-02,"8",317.508592717909,171.725
2018-11-02,"9",265.287280625036,145.95625
2018-11-16,"0.1",334.438948070682,296.75625
2018-11-16,"1",333.516731049545,297.1625
2018-11-16,"10",338.926329819864,295.49375
2018-11-16,"11",337.492503891892,118.565625
2018-11-16,"2",334.964286371594,296.5625
2018-11-16,"3",344.974240479611,296.115625
2018-11-16,"4",347.269943533937,295.05
2018-11-16,"5",347.269943533937,296.265625
2018-11-16,"6",345.615288112872,296.278125
2018-11-16,"7",339.855377497943,295.29375
2018-11-16,"8",339.84935544694,295.2375
2018-11-16,"9",339.610474855023,295.4
2018-12-06,"0.1",368.322555780548,303.41875
2018-12-06,"1",365.222101300623,358.25625
2018-12-06,"10",364.095341961198,357.903125
2018-12-06,"11",362.99178225227,357.1375
2018-12-06,"2",365.217261131463,357.384375
2018-12-06,"3",365.210222687366,358.384375
2018-12-06,"4",365.213528081867,356.375
2018-12-06,"5",365.212736398597,356.96875
2018-12-06,"6",365.202396847864,357.828125
2018-12-06,"7",365.201065874601,357.8625
2018-12-06,"8",364.87864764523,357.13125
2018-12-06,"9",364.333363319537,356.68125
2019-04-08,"0.1",331.172526378904,366.25
2019-04-08,"1",333.093409930874,370.9375
2019-04-08,"10",215.406660569062,302.1875
2019-04-08,"11",213.990843220181,287.8125
2019-04-08,"2",329.449456081373,373.125
2019-04-08,"3",316.480610822316,376.25
2019-04-08,"4",312.072644464329,388.125
2019-04-08,"5",303.42473517917,381.875
2019-04-08,"6",307.560712886001,373.75
2019-04-08,"7",313.044057437618,364.375
2019-04-08,"8",312.979691389828,329.0625
2019-04-08,"9",217.214206407348,307.5
2019-04-29,"0.1",296.971770189774,330
2019-04-29,"1",301.013209342167,336.25
2019-04-29,"10",0.370504041189495,121.25
2019-04-29,"11",3.00033227275285e-05,116.5625
2019-04-29,"2",297.918719740476,338.125
2019-04-29,"3",294.661636974241,339.6875
2019-04-29,"4",294.934034864019,344.375
2019-04-29,"5",293.258655969885,346.875
2019-04-29,"6",285.943430638235,357.8125
2019-04-29,"7",272.464757028097,321.875
2019-04-29,"8",235.652555549472,212.5
2019-04-29,"9",74.8401967585257,141.5625
2019-05-16,"0.1",284.279890113706,286.875
2019-05-16,"1",284.12115858868,285
2019-05-16,"10",0,20.3125
2019-05-16,"11",0,18.75
2019-05-16,"2",284.039482340238,285.3125
2019-05-16,"3",289.811725834791,286.5625
2019-05-16,"4",289.96227566433,285.9375
2019-05-16,"5",302.204834584739,347.1875
2019-05-16,"6",295.955302470471,360.3125
2019-05-16,"7",267.87612544751,367.5
2019-05-16,"8",208.460380144717,305
2019-05-16,"9",34.6623854500836,30.9375
2019-05-23,"0.1",282.891192038676,316.25
2019-05-23,"1",283.378079419855,319.6875
2019-05-23,"10",0,22.8125
2019-05-23,"11",0,20.9375
2019-05-23,"2",284.511878206167,318.125
2019-05-23,"3",284.025625503055,341.25
2019-05-23,"4",288.090843267576,325.3125
2019-05-23,"5",296.233448667942,345.9375
2019-05-23,"8",199.721617106002,56.25
2019-05-23,"9",8.22814737193305,27.1875
2019-05-30,"0.1",268.022630348133,261.875
2019-05-30,"1",268.629173289514,262.1875
2019-05-30,"10",0,20.3125
2019-05-30,"11",0,18.4375
2019-05-30,"2",261.05887762361,259.375
2019-05-30,"3",267.629088109755,292.1875
2019-05-30,"4",285.272818351257,291.5625
2019-05-30,"5",295.471564898058,318.75
2019-05-30,"6",291.952942023399,357.8125
2019-05-30,"7",262.828100857506,337.1875
2019-05-30,"8",195.12609793562,27.5
2019-05-30,"9",17.8334841366579,22.5
2019-06-06,"0.1",276.934541448846,289.0625
2019-06-06,"1",276.904714325648,291.5625
2019-06-06,"10",0.00161913728975483,20.625
2019-06-06,"11",0,19.0625
2019-06-06,"2",273.364588125027,290.625
2019-06-06,"3",276.387438844966,291.875
2019-06-06,"4",277.943283848606,290.9375
2019-06-06,"5",285.350294879341,324.375
2019-06-06,"6",284.283009783086,386.25
