"DateTime","Depth","mod_chla","obs_chla"
2016-06-08,"0.1",2.61590378612641,1.6576
2016-06-08,"1",2.66456073555327,1.7209
2016-06-08,"10",5.32868217269984,2.7959
2016-06-08,"11",NA,2.0249
2016-06-08,"2",3.35171734068853,1.68
2016-06-08,"3",3.57134962962044,3.0393
2016-06-08,"4",3.74417330789423,3.4218
2016-06-08,"5",3.88826855305873,5.0353
2016-06-08,"6",3.57068241428575,5.8291
2016-06-08,"7",3.69842965732918,13.1847
2016-06-08,"8",4.47045799609756,8.6248
2016-06-08,"9",5.31797249491805,2.7461
2016-06-16,"0.1",2.85798478047241,0.6474
2016-06-16,"1",2.87356144147821,0.5938
2016-06-16,"10",14.3419191589825,3.1106
2016-06-16,"11",NA,3.0563
2016-06-16,"2",3.39360379713792,0.8846
2016-06-16,"3",3.5063291144016,0.9545
2016-06-16,"4",3.53721731459951,1.1019
2016-06-16,"5",3.58612627435875,1.7305
2016-06-16,"6",3.67497764785137,2.4922
2016-06-16,"7",4.45508412936586,7.8514
2016-06-16,"8",9.5137566894893,12.1831
2016-06-16,"9",14.1139852611187,5.7666
2016-06-23,"0.1",2.85157848914789,2.4143
2016-06-23,"1",2.85171651386412,2.4225
2016-06-23,"10",30.6691827999462,3.5042
2016-06-23,"11",NA,3.3351
2016-06-23,"2",2.91807065551078,2.519
2016-06-23,"3",3.36987199272296,2.4324
2016-06-23,"4",3.4344500332077,2.2652
2016-06-23,"5",3.4821906869295,3.1151
2016-06-23,"6",3.7164668555264,2.0117
2016-06-23,"7",4.77456515791944,1.9482
2016-06-23,"8",13.2222100261932,2.5943
2016-06-23,"9",27.2671560608402,11.6498
2016-06-26,"0.1",2.82041347724963,1.4518
2016-06-26,"1",2.82061677503424,1.7816
2016-06-26,"10",34.6216701609438,3.2153
2016-06-26,"11",NA,3.3746
2016-06-26,"2",2.82362554272028,3.3824
2016-06-26,"3",3.21678974885041,3.8569
2016-06-26,"4",3.28422733203911,4.5591
2016-06-26,"5",3.36025219142182,3.632
2016-06-26,"6",3.63645611824575,3.6331
2016-06-26,"7",4.50603827819685,2.8975
2016-06-26,"8",12.1522301069529,1.7801
2016-06-26,"9",31.2217227153803,11.2086
2016-06-28,"0.1",2.72890828153348,1.9081
2016-06-28,"1",2.72896938712592,2.0716
2016-06-28,"10",36.955844090698,3.6085
2016-06-28,"11",NA,3.5532
2016-06-28,"2",2.73160601339913,2.3396
2016-06-28,"3",3.12334317437742,2.6438
2016-06-28,"4",3.20175868240074,3.4442
2016-06-28,"5",3.29581758277063,5.3254
2016-06-28,"6",3.65077385573173,4.844
2016-06-28,"7",4.32701715225372,5.1509
2016-06-28,"8",11.9188576720001,6.3265
2016-06-28,"9",32.8234680145774,4.7089
2016-06-30,"0.1",2.64430683713281,0.6361
2016-06-30,"1",2.6445300701557,0.6894
2016-06-30,"10",37.9294192089217,3.5517
2016-06-30,"11",NA,3.2821
2016-06-30,"2",2.64934737100286,3.0642
2016-06-30,"3",3.03991063345367,4.1956
2016-06-30,"4",3.12908883437433,6.7321
2016-06-30,"5",3.24093769332556,3.9167
2016-06-30,"6",3.63744651479073,4.7281
2016-06-30,"7",4.2435508442523,5.355
2016-06-30,"8",11.6019453689308,7.0207
2016-06-30,"9",34.7589040590257,5.6151
2016-07-07,"0.1",2.41622151212507,1.7939
2016-07-07,"1",2.41629915294129,1.9134
2016-07-07,"10",41.3618293971201,2.9646
2016-07-07,"11",NA,2.7512
2016-07-07,"2",2.41685711371691,2.2999
2016-07-07,"3",2.76665829946777,5.3904
2016-07-07,"4",2.87313788045613,6.1575
2016-07-07,"5",3.00789900462245,6.6209
2016-07-07,"6",3.45075849075354,5.3836
2016-07-07,"7",3.81853589879692,2.2907
2016-07-07,"8",9.49358165232831,8.6497
2016-07-07,"9",37.2241277539501,3.9709
2016-07-14,"0.1",2.29524934289969,0.9328
2016-07-14,"1",2.29537850061808,1.2288
2016-07-14,"10",14.2717791987462,2.4789
2016-07-14,"11",NA,2.7019
2016-07-14,"2",2.3413472331963,1.5934
2016-07-14,"3",2.75774103479263,2.4342
2016-07-14,"4",3.11348782261874,8.1271
2016-07-14,"5",3.30115310184815,5.4387
2016-07-14,"6",4.13642540139891,3.4516
2016-07-14,"7",9.04949094706158,4.1938
