"DateTime","Depth","mod_nh4","obs_nh4"
2016-09-27,"9",226.909966537714,5.54323725055432
2016-10-11,"0.1",2.01430795782131,0.388026607538803
2016-10-11,"11",187.838499131027,53.2705099778271
2016-10-11,"3",2.10576894564671,0.16629711751663
2016-10-11,"6",1.62519548929556,0.221729490022173
2016-10-11,"9",101.461820696106,1.99556541019956
2016-10-25,"0.1",1.43281936376707,0.221729490022173
2016-10-25,"11",179.114590694453,74.8337028824834
2016-10-25,"6",1.64621270415064,0.332594235033259
2016-11-11,"0.1",2.33384533037325,3.49223946784922
2016-11-11,"11",1.57952100505187,4.15742793791574
2016-11-11,"3",2.0921379792914,3.76940133037694
2016-11-11,"6",3.4173671681572,3.93569844789357
2016-11-11,"9",1.57952100505187,3.88026607538803
2017-03-17,"0.1",0.950341353656489,0.554323725055432
