"DateTime","Depth","mod_temp","obs_temp"
2017-08-10,"5",14.0910368283408,13.6
2017-08-10,"6",12.8942274608338,11.7
2017-08-10,"7",11.8367283251849,10.7
2017-08-10,"8",9.62384351619216,9.9
2017-08-10,"9",9.26105550955469,9.5
2017-08-17,"0.1",25.7931020765573,30.3
2017-08-17,"1",25.5728085204071,27.7
2017-08-17,"10",9.37051677755111,9.3
2017-08-17,"2",22.691652801578,25.5
2017-08-17,"4",20.1913350126535,20.1
2017-08-17,"5",13.7467560402354,14.1
2017-08-17,"6",12.8980892964189,12
2017-08-17,"7",12.1677973417166,10.8
2017-08-17,"8",9.49968608321051,10
2017-08-17,"9",9.37077131023495,9.5
2017-08-24,"0.1",26.7975471689564,26
2017-08-24,"1",26.7972294152282,26.1
2017-08-24,"2",25.8178867768369,26.1
2017-08-24,"4",22.252762922165,19
2017-08-24,"5",13.5629284503103,14.5
2017-08-24,"6",12.9674722079119,12.3
2017-08-24,"7",12.5339306549305,10.8
2017-08-24,"8",9.54588813170808,10.1
2017-08-24,"9",9.50236569070148,9.7
2017-09-05,"0.1",22.0349265765141,24.3
2017-09-05,"1",21.929847743408,21.9
2017-09-05,"2",17.8306687851538,20.2
2017-09-05,"3",16.788231987035,20
2017-09-05,"4",15.8841752856664,19.6
2017-09-05,"5",14.0841913910304,16.7
2017-09-05,"6",13.4730401774829,13.2
2017-09-05,"7",12.5579300229832,11.5
2017-09-05,"8",10.2328887749231,10.4
2017-09-05,"9",9.78710526600278,10
2017-09-19,"0.1",21.79885173838,24.6
2017-09-19,"1",21.7968288082986,24
2017-09-19,"10",9.92541726974733,9.7
2017-09-19,"2",19.6839628877855,19.1
2017-09-19,"3",18.3771419099886,18.3
2017-09-19,"4",18.029284900519,17.8
2017-09-19,"5",13.9134492838608,15.7
2017-09-19,"6",13.3603316835346,14.1
2017-09-19,"7",13.0692192022461,12.1
2017-09-19,"8",10.0656712210981,10.6
2017-09-19,"9",9.93343883550004,10
2017-10-03,"0.1",21.1733103817028,20.6
2017-10-03,"1",21.1730984394936,19.6
2017-10-03,"2",20.6256089209794,19.2
2017-10-03,"3",20.4486524084757,18.7
2017-10-03,"4",19.1501341487519,17.7
2017-10-03,"5",13.9203324146617,16.2
2017-10-03,"6",13.745484081723,13.6
2017-10-03,"7",12.894339355728,11.5
2017-10-03,"8",10.1160871419936,10.5
2017-10-03,"9",10.0781221240196,10.2
2017-10-17,"0.1",18.2440325658252,18.8
2017-10-17,"1",18.2440309793875,18.3
2017-10-17,"10",10.2002440809714,8.2
2017-10-17,"11",NA,7.8
2017-10-17,"2",17.9895095289548,18.1
2017-10-17,"3",16.2137543155692,17.9
2017-10-17,"4",15.9957760055152,18.8
2017-10-17,"5",15.1233148266602,17.7
2017-10-17,"6",14.3543105090676,16.2
2017-10-17,"7",13.4789010669743,13.5
2017-10-17,"8",10.7246056064241,10.6
2017-10-17,"9",10.2863745963566,9.1
2017-11-07,"0.1",14.8741624568387,12.9
2017-11-07,"1",14.5725410400255,12.5
2017-11-07,"2",12.4131589259068,12.5
2017-11-07,"3",11.3834852574605,12.4
2017-11-07,"4",10.2701379843709,12.3
2017-11-07,"5",9.2258649578976,12.2
2017-11-07,"6",8.7069053538967,12.1
2017-11-07,"7",6.74998705646108,12
2017-11-07,"8",6.74998705646108,11.9
2017-11-07,"9",6.74998705646108,11.8
2018-05-04,"0.1",18.251972338781,20.1608
2018-05-04,"1",18.0760111662917,19.6319
2018-05-04,"10",7.84376398069663,6.9643
2018-05-04,"11",NA,6.966
2018-05-04,"2",16.0718770463182,14.1327
2018-05-04,"3",13.2232044679906,12.9077
2018-05-04,"4",12.2008442197027,11.6929
2018-05-04,"5",11.3143079986641,11.1392
2018-05-04,"6",10.4792559010366,10.319
2018-05-04,"7",10.1179286199769,8.5417
2018-05-04,"8",9.73733149059593,7.4292
2018-05-04,"9",7.97883050485095,7.0405
2018-05-11,"0.1",21.0825538707737,21.6094
2018-05-11,"1",21.0823641824303,21.2463
2018-05-11,"10",7.82869283533034,7.162
2018-05-11,"11",NA,7.0658
2018-05-11,"2",19.3202789039668,16.7359
2018-05-11,"3",15.6686609090826,14.3863
2018-05-11,"4",14.1717933590858,12.5744
2018-05-11,"5",12.2078061925871,10.7037
2018-05-11,"6",10.5143774525343,8.8253
2018-05-11,"7",10.1763001720035,7.952
2018-05-11,"8",9.834119198422,7.3497
2018-05-11,"9",7.86620363034788,7.2542
2018-05-17,"0.1",23.5094197830702,22.7869
2018-05-17,"1",23.408379070802,22.1355
2018-05-17,"10",7.85581249113932,7.1824
2018-05-17,"11",NA,7.1243
2018-05-17,"2",21.1902364502528,17.6446
