"DateTime","mod","taxon","value","daily_sum","year","doy","annual_sum","annual_prop","scenario"
2021-04-30,"PHY","green",24.639152829133,58.3657976355086,2021,120,84257.7029155389,0.0692705777820875,"baseline"
2021-04-30,"PHY","diatom",665.579753974774,58.3657976355086,2021,120,84257.7029155389,0.0692705777820875,"baseline"
2021-05-01,"PHY","cyano",10.8195101084016,61.9043882876395,2021,121,84257.7029155389,0.0734703014034139,"baseline"
2021-05-01,"PHY","green",26.3777417154646,61.9043882876395,2021,121,84257.7029155389,0.0734703014034139,"baseline"
2021-05-01,"PHY","diatom",706.336355898972,61.9043882876395,2021,121,84257.7029155389,0.0734703014034139,"baseline"
2021-05-02,"PHY","cyano",10.8170556174012,63.8095848678595,2021,122,84257.7029155389,0.0757314555938263,"baseline"
2021-05-02,"PHY","green",28.1768338306532,63.8095848678595,2021,122,84257.7029155389,0.0757314555938263,"baseline"
2021-05-02,"PHY","diatom",727.423034399805,63.8095848678595,2021,122,84257.7029155389,0.0757314555938263,"baseline"
2021-05-03,"PHY","cyano",11.4330892248824,67.9591087669906,2021,123,84257.7029155389,0.080656256241775,"baseline"
2021-05-03,"PHY","green",30.8574360903106,67.9591087669906,2021,123,84257.7029155389,0.080656256241775,"baseline"
2021-05-03,"PHY","diatom",773.966330085131,67.9591087669906,2021,123,84257.7029155389,0.080656256241775,"baseline"
2021-05-04,"PHY","cyano",11.0972582325924,67.7991744904373,2021,124,84257.7029155389,0.0804664406272743,"baseline"
2021-05-04,"PHY","green",32.3349711220933,67.7991744904373,2021,124,84257.7029155389,0.0804664406272743,"baseline"
2021-05-04,"PHY","diatom",770.903655449956,67.7991744904373,2021,124,84257.7029155389,0.0804664406272743,"baseline"
2021-05-05,"PHY","cyano",11.5549386769146,72.1861406080099,2021,125,84257.7029155389,0.085673046036361,"baseline"
2021-05-05,"PHY","green",36.4074751798687,72.1861406080099,2021,125,84257.7029155389,0.085673046036361,"baseline"
2021-05-05,"PHY","diatom",819.065320986024,72.1861406080099,2021,125,84257.7029155389,0.085673046036361,"baseline"
2021-05-06,"PHY","cyano",11.8698297009715,76.593559073429,2021,126,84257.7029155389,0.0909039250099275,"baseline"
2021-05-06,"PHY","green",40.8382554487699,76.593559073429,2021,126,84257.7029155389,0.0909039250099275,"baseline"
2021-05-06,"PHY","diatom",867.257152881214,76.593559073429,2021,126,84257.7029155389,0.0909039250099275,"baseline"
2021-05-07,"PHY","cyano",12.0586521820136,79.945776893825,2021,127,84257.7029155389,0.09488245481124,"baseline"
2021-05-07,"PHY","green",45.4257358170672,79.945776893825,2021,127,84257.7029155389,0.09488245481124,"baseline"
2021-05-07,"PHY","diatom",902.744338272652,79.945776893825,2021,127,84257.7029155389,0.09488245481124,"baseline"
2021-05-08,"PHY","cyano",12.4030732917923,83.566991490758,2021,128,84257.7029155389,0.0991802394310782,"baseline"
2021-05-08,"PHY","green",51.1879427722532,83.566991490758,2021,128,84257.7029155389,0.0991802394310782,"baseline"
2021-05-08,"PHY","diatom",940.132118731449,83.566991490758,2021,128,84257.7029155389,0.0991802394310782,"baseline"
2021-05-09,"PHY","cyano",12.7894126366053,86.8407141059314,2021,129,84257.7029155389,0.103065608366966,"baseline"
2021-05-09,"PHY","green",55.8099959175621,86.8407141059314,2021,129,84257.7029155389,0.103065608366966,"baseline"
2021-05-09,"PHY","diatom",974.444408572174,86.8407141059314,2021,129,84257.7029155389,0.103065608366966,"baseline"
2021-05-10,"PHY","cyano",13.5738198192558,91.647176552705,2021,130,84257.7029155389,0.108770086747527,"baseline"
2021-05-10,"PHY","green",63.0100767861081,91.647176552705,2021,130,84257.7029155389,0.108770086747527,"baseline"
2021-05-10,"PHY","diatom",1024.19034096918,91.647176552705,2021,130,84257.7029155389,0.108770086747527,"baseline"
2021-05-11,"PHY","cyano",14.1515273603906,97.0799314625446,2021,131,84257.7029155389,0.115217871011579,"baseline"
2021-05-11,"PHY","green",70.2401870752985,97.0799314625446,2021,131,84257.7029155389,0.115217871011579,"baseline"
2021-05-11,"PHY","diatom",1081.63534236093,97.0799314625446,2021,131,84257.7029155389,0.115217871011579,"baseline"
2021-05-12,"PHY","cyano",14.5363590946038,103.76915411043,2021,132,84257.7029155389,0.123156875300113,"baseline"
2021-05-12,"PHY","green",78.9001872903106,103.76915411043,2021,132,84257.7029155389,0.123156875300113,"baseline"
2021-05-12,"PHY","diatom",1152.93476363546,103.76915411043,2021,132,84257.7029155389,0.123156875300113,"baseline"
2021-05-13,"PHY","cyano",14.4474100291218,99.9905870487693,2021,133,84257.7029155389,0.118672339250693,"baseline"
2021-05-13,"PHY","green",88.0299753779156,99.9905870487693,2021,133,84257.7029155389,0.118672339250693,"baseline"
2021-05-13,"PHY","diatom",1098.50955563573,99.9905870487693,2021,133,84257.7029155389,0.118672339250693,"baseline"
2021-05-14,"PHY","cyano",15.2563869784325,103.846888056427,2021,134,84257.7029155389,0.123249132676362,"baseline"
2021-05-14,"PHY","green",96.9853770734837,103.846888056427,2021,134,84257.7029155389,0.123249132676362,"baseline"
2021-05-14,"PHY","diatom",1135.06320839383,103.846888056427,2021,134,84257.7029155389,0.123249132676362,"baseline"
2021-05-15,"PHY","cyano",15.974370930965,106.193560813933,2021,135,84257.7029155389,0.126034246293639,"baseline"
2021-05-15,"PHY","green",108.178335949843,106.193560813933,2021,135,84257.7029155389,0.126034246293639,"baseline"
