"DateTime","Depth","PHS_frp"
2017-05-18,11,0.0315884571565756
2017-05-25,0.1,0.0737064000320096
2017-05-25,3,0.0947653714697267
2017-05-25,6,0.0315884571565756
2017-05-25,9,0.0737064000320096
2017-05-25,11,0.0526474285942926
2017-05-30,0.1,0.0737064000320096
2017-05-30,3,0.0842358857508682
2017-05-30,6,0.0631769143131511
2017-05-30,9,0.021058971437717
2017-05-30,11,0.0526474285942926
2017-06-01,0.1,0.0947653714697267
2017-06-01,3,0.0526474285942926
2017-06-01,6,0.0315884571565756
2017-06-01,11,0.0631769143131511
2017-06-08,0.1,0.0737064000320096
2017-06-08,3,0.0842358857508682
2017-06-08,6,0.021058971437717
2017-06-08,9,0.021058971437717
2017-06-08,11,0.0315884571565756
2017-06-15,0.1,0.0947653714697267
