"DateTime","Depth","NIT_amm"
2017-05-30,3,0.443458980044346
2017-05-30,6,0.332594235033259
2017-05-30,9,10.0332594235033
2017-05-30,11,22.7272727272727
2017-06-01,0.1,0.443458980044346
2017-06-01,3,0.277161862527716
2017-06-01,6,0.332594235033259
2017-06-01,11,33.8691796008869
2017-06-08,0.1,0.443458980044346
2017-06-08,3,0.609756097560976
2017-06-08,6,0.277161862527716
2017-06-08,9,23.9467849223947
2017-06-08,11,26.4966740576497
2017-06-15,0.1,0.776053215077605
2017-06-15,3,0.388026607538803
2017-06-15,6,0.443458980044346
2017-06-15,9,25.7206208425721
2017-06-15,11,23.1707317073171
2017-06-22,0.1,1.10864745011086
2017-06-22,3,0.665188470066519
2017-06-22,6,0.776053215077605
2017-06-22,9,17.960088691796
2017-06-22,11,38.9689578713969
