"DateTime","dens.elv_0","dens.elv_0.710526315789474","dens.elv_1.42105263157895","dens.elv_2.13157894736842","dens.elv_2.84210526315789","dens.elv_3.55263157894737","dens.elv_4.26315789473684","dens.elv_4.97368421052632","dens.elv_5.68421052631579","dens.elv_6.39473684210526","dens.elv_7.10526315789474","dens.elv_7.81578947368421","dens.elv_8.52631578947368","dens.elv_9.23684210526316","dens.elv_9.94736842105263","dens.elv_10.6578947368421","dens.elv_11.3684210526316","dens.elv_12.0789473684211","dens.elv_12.7894736842105","dens.elv_13.5"
2012-07-02,999.82268597461,999.82268597461,999.822744911561,999.822739380141,999.679879065391,999.62248544766,999.622580467128,999.618529995879,999.456438700455,997.864487763226,997.761315642359,997.689185550095,997.438889978025,995.943952693462,995.745512712939,995.531115209952,995.389258921896,NA,NA,NA
2012-07-03,999.821448474652,999.821479436901,999.821527742193,999.821528801133,999.677642947279,999.619797710319,999.619860070286,999.615981468248,999.452727383332,997.838114885596,997.734751177418,997.662799856881,997.412796437306,995.822514952671,995.715742866501,995.542181854161,995.467007577658,NA,NA,NA
2012-07-04,999.820300365477,999.820300365477,999.820308431256,999.820360715549,999.675051078019,999.617220445053,999.617326002269,999.613724664299,999.450540123042,997.813314918756,997.711671423813,997.641745245724,997.402143373085,995.799943455969,995.79976497396,995.79976497396,995.79976497396,NA,NA,NA
2012-07-05,999.819080661621,999.819080661621,999.819089914234,999.819147988749,999.672402746987,999.614622827781,999.614681699971,999.611390702057,999.448351591997,997.78876110944,997.68891797027,997.620850555764,997.391240092572,995.971252418957,995.97116471973,995.97116471973,995.97116471973,NA,NA,NA
2012-07-06,999.817659798858,999.817659798858,999.817804523886,999.817889246555,999.670730027363,999.611733710454,999.611788300844,999.608350642738,999.441390359943,997.763951545846,997.661891984233,997.595493960929,997.362185046414,996.012812646422,995.961155473551,995.795643493558,995.4978356184,NA,NA,NA
2012-07-07,999.816334911804,999.816334911804,999.816518674578,999.816558728531,999.668462471756,999.608750650908,999.608814277061,999.605343195134,999.435276747971,997.73913548945,997.635118155889,997.56951100037,997.331147075822,995.938996939971,995.791089029447,995.575028608683,995.465564229369,NA,NA,NA
2012-07-08,999.815073061629,999.815078470405,999.815168522168,999.815256498357,999.6666138557,999.605817856006,999.605852594155,999.602263060054,999.42770493078,997.715852400204,997.609385107098,997.528915181813,997.270117295834,996.231546141284,995.783886268435,995.657264401709,995.596247099016,NA,NA,NA
2012-07-09,999.813655493811,999.813655493811,999.813758216626,999.813223130385,999.670843445557,999.603237225313,999.602113036733,999.596108475331,999.378577199038,997.706689044256,997.57308504519,997.502940111429,996.715638366077,996.319681657108,995.918319174736,995.782493151965,995.765764986496,NA,NA,NA
2012-07-10,999.812280189688,999.812280189688,999.812277731907,999.809722275059,999.673043202447,999.600508287725,999.596870216608,999.587585315327,999.314270112802,997.706466697269,997.540981500821,997.435723374106,996.545278194114,996.36546083802,995.960961137857,995.724381869894,995.631832808487,NA,NA,NA
2012-07-11,999.8107332307,999.8108056289,999.810863524811,999.806714604566,999.671460358252,999.597693282584,999.592293759184,999.578872696228,999.273889846036,997.703162385127,997.51063130906,997.366808225896,996.607047545349,996.37021832225,995.981982071502,995.68168099358,995.597049259468,NA,NA,NA
2012-07-12,999.809353062511,999.809353062511,999.809428122654,999.805013485679,999.667460163503,999.594301533821,999.588273423224,999.571944648365,999.256813546214,997.689926514356,997.479641263868,997.318323872304,996.67979502762,996.445457117352,995.973915521,995.699531098305,995.504969720245,NA,NA,NA
2012-07-13,999.807981336813,999.807981336813,999.808063134828,999.803583699987,999.66432263414,999.590991988638,999.584626273814,999.565594907652,999.238000307803,997.603421005458,997.42389314258,996.81893168242,996.542229896383,996.542229896383,996.462773107859,995.715750144646,995.411574524872,NA,NA,NA
2012-07-14,999.806309916391,999.806394026837,999.805770196372,999.789340215652,999.666676318306,999.587296199928,999.566264194458,999.519164494407,999.057168917098,997.898842687094,997.162071139167,996.726150037615,996.553733918383,996.553733918383,996.45617238574,995.905530531224,995.654813669126,NA,NA,NA
2012-07-15,999.80467281312,999.80473411219,999.803607529677,999.784468441637,999.659899015173,999.578686475309,999.552043826193,999.490347629906,998.992501564675,997.763605445463,997.088260757317,996.72051634471,996.468967499985,996.242743765943,996.202181558293,995.83684202598,995.672767341626,NA,NA,NA
2012-07-16,999.803169635923,999.803237902477,999.802457259459,999.78659123514,999.654280358676,999.572225964058,999.547032543379,999.485001379164,999.006074391055,997.68959433467,997.081731853483,996.722304637928,996.36104090937,996.069702428426,995.999190893703,995.752006413162,995.611496488181,NA,NA,NA
2012-07-17,999.80175246789,999.801833228131,999.8015942431,999.789444063381,999.648884525812,999.567831817913,999.545332675301,999.487260817652,999.037525051911,997.617191995662,997.135164887039,996.738594131794,996.434807508545,996.411860631076,995.950589058435,995.792820990969,995.705107275602,NA,NA,NA
2012-07-18,999.800422404196,999.800438337765,999.800381314157,999.790482858399,999.646977740887,999.563149643363,999.541428632592,999.485122735409,999.044031423591,997.57884159959,997.099239512849,996.743082044282,996.47455270256,996.329446861852,995.866158333054,995.615810179456,995.439457019433,NA,NA,NA
2012-07-19,999.799044571734,999.79907655667,999.799134443932,999.790894864146,999.644289135097,999.55970042697,999.538701467262,999.484718364316,999.053090981844,997.547482688912,997.086579254368,996.796085985746,996.506710690947,996.093418490353,995.848861526557,995.555518849134,995.401366003273,NA,NA,NA
2012-07-20,999.797675934383,999.797783601968,999.797799041569,999.791480639947,999.639442386716,999.556596118913,999.537750218359,999.488380304096,999.07864600719,997.515156035547,997.076663316797,996.805416872669,996.496254684161,995.986196788461,995.82503922628,995.48523423689,995.408601381761,NA,NA,NA
2012-07-21,999.796295038137,999.796353014484,999.796381611967,999.791670429349,999.634926375154,999.553290465698,999.536854178618,999.492234888646,999.103348918842,997.481838259608,997.068733826216,996.821972548772,996.503608222099,996.045677719872,995.679747746647,995.444652760613,995.308036773315,NA,NA,NA
2012-07-22,999.794858410352,999.794877279397,999.794984018538,999.791375086812,999.631327686531,999.550441876319,999.535656926904,999.494446192676,999.117251410104,997.45133406554,997.061935444861,996.836263561641,996.515917664936,995.967059740543,995.578285986661,995.316250081265,995.108159224812,NA,NA,NA
2012-07-23,999.793496160715,999.793496160715,999.79349412759,999.790896658763,999.62715964653,999.547698976787,999.534766442822,999.497167466978,999.135735723993,997.422506849958,997.056691864376,996.84954246914,996.536954172726,995.929090638915,995.45210669,995.114013293805,995.037090171951,NA,NA,NA
2012-07-24,999.791997872028,999.791997872028,999.792043266308,999.790065112244,999.624319155608,999.544181588097,999.532966957239,999.49892492822,999.14447760585,997.395602014048,997.050709062898,996.860094009489,996.55148080012,995.814087190165,995.368797621658,995.152987206885,994.988284946343,NA,NA,NA
2012-07-25,999.790522999107,999.790531912755,999.790661514986,999.789179160992,999.619914891673,999.541130090241,999.53169615316,999.501112279434,999.162652553931,997.369657768524,997.044871639871,996.867897497086,996.566730136236,995.753786990999,995.280116375866,994.998789853925,994.937059127167,NA,NA,NA
2012-07-26,999.789174628178,999.789174628178,999.789217989891,999.78821424759,999.615861750505,999.538215028392,999.530477342515,999.503002113336,999.179422305347,997.346759579283,997.042505147424,996.88025285993,996.515202201402,995.818354296263,995.236602298414,994.981587979602,994.801163055169,NA,NA,NA
2012-07-27,999.787733179354,999.787733179354,999.78773486849,999.786811101214,999.614459295489,999.535205800816,999.528171461053,999.502225489539,999.173549711561,997.326127839108,997.03782689885,996.903992206686,996.448131992438,995.598600019476,995.287396067647,994.899990211685,994.603823238508,NA,NA,NA
2012-07-28,999.786190285101,999.786190285101,999.786243565779,999.784687311158,999.616190811138,999.532125546492,999.524456789811,999.499011481014,999.14466332275,997.310531318377,997.020443433529,996.794494433675,996.095867015399,996.095867015399,995.492359648796,994.953331441003,994.929352601915,NA,NA,NA
2012-07-29,999.784455686754,999.784455686754,999.784412466073,999.773477243475,999.625254541595,999.529112402215,999.50986370389,999.468842125131,998.983966301193,997.347779160766,996.989077574415,996.619286707716,996.079413863525,995.886955605875,995.886955605875,995.078099539655,994.886787524076,NA,NA,NA
2012-07-30,999.782661312528,999.782677998581,999.782562026185,999.768467670296,999.619454243178,999.523974277061,999.500922484882,999.449324357123,999.082317790841,997.343059662425,996.863858828808,996.411676994519,996.206788104988,996.206788104988,995.871072610229,995.316702685945,995.099607458166,NA,NA,NA
2012-07-31,999.780821459918,999.780843726678,999.779394960489,999.756999995551,999.613907320611,999.516159078461,999.473972593399,999.329021535506,999.023112140128,997.597496069405,996.687818788162,996.321269859793,996.153838716235,996.148254670912,996.077297225778,995.429641065571,995.087084742203,NA,NA,NA
2012-08-01,999.7790636307,999.779113943728,999.777026729945,999.75251595136,999.607469341387,999.505024486876,999.44782402774,999.285357899422,998.768955555162,997.315109353254,996.501657717298,996.187345975046,996.134733121972,996.134733121972,996.111845222845,995.592636990897,995.268179794203,NA,NA,NA
2012-08-02,999.777336068458,999.777392206935,999.77465516371,999.748625230434,999.60074091483,999.48894724648,999.427674220791,999.296904073806,998.694159550983,997.252212001483,996.468074687044,996.217346975284,996.192782259958,996.192782259958,996.001338716079,995.541490994746,995.373869959522,NA,NA,NA
2012-08-03,999.77574550825,999.775807494956,999.772991038742,999.747709828378,999.594654126271,999.477992051209,999.421199087186,999.297078133859,998.664608970057,997.248196811023,996.484252683649,996.317824033367,996.317824033367,996.269261631497,995.992635758548,995.580420085763,995.530847553748,NA,NA,NA
2012-08-04,999.774263134965,999.774327303319,999.77222964774,999.75030469095,999.590369065892,999.472806907852,999.420883418563,999.303052841137,998.66085192299,997.220719447365,996.805049535597,996.805049535597,996.805049535597,996.399552960737,996.140220211034,995.876312521481,995.85732898579,NA,NA,NA
2012-08-05,999.772691472711,999.772708504177,999.7700068163,999.745698831046,999.58725882297,999.465607277227,999.413751052551,999.287189269609,998.61213689686,997.26492086892,997.231897858138,997.231897858138,997.231897858138,996.740822173298,996.280743917582,996.051753823255,996.0303705919,NA,NA,NA
2012-08-06,999.770776300772,999.770394052878,999.764413819407,999.728138628486,999.579047352388,999.460292347397,999.401324500447,999.256321770785,998.552756352577,997.422121049894,997.228439964024,997.060370766839,996.906842029308,996.906842029308,996.640043079832,996.124264563987,996.054778804761,NA,NA,NA
2012-08-07,999.768489946226,999.76773242513,999.759885542629,999.722008306847,999.572299129591,999.453969460147,999.394453275595,999.239677843238,998.53722950362,997.462199161632,997.122611004465,996.987439947808,996.71518938849,996.280490208499,996.052348744926,996.052348744926,995.749300007393,NA,NA,NA
2012-08-08,999.767431219669,999.767097783445,999.761534265077,999.733050643873,999.57033349597,999.45515616525,999.402736465517,999.265728314764,998.582789198676,997.429069521083,997.090321722255,996.914177725044,996.614289991484,996.475657489466,996.106959383734,995.935995253087,995.918551860939,NA,NA,NA
